term,sessionPeriod,voteDate,voteTime,voteIssue,voteType,url,
10,07,112/04/14,12:45,道路交通管理處罰條例第63條之1，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153214.xlsx,
10,07,112/04/14,12:53,道路交通管理處罰條例第九十二條，民進黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153215.xlsx,
10,07,112/04/14,12:55,道路交通管理處罰條例第九十三條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202304211153226.xlsx,
10,07,112/05/05,11:19,社會福利基本法第四條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305051453100.xlsx,
10,07,112/05/16,09:52,農業部組織法第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504340.xlsx,
10,07,112/05/16,09:54,農業部組織法第五條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504371.xlsx,
10,07,112/05/16,10:02,討論事項第九案　附帶決議，時代力量黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504372.xlsx,
10,07,112/05/16,10:03,討論事項第九案　附帶決議，時代力量黨團提議(2),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504373.xlsx,
10,07,112/05/16,10:40,農業部林業及自然保育署組織法第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504374.xlsx,
10,07,112/05/16,13:55,交通部組織法第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504385.xlsx,
10,07,112/05/16,14:11,交通部觀光署組織法第二條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504386.xlsx,
10,07,112/05/16,14:28,交通部公路局組織法第一條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504387.xlsx,
10,07,112/05/16,14:31,交通部公路局組織法第二條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504398.xlsx,
10,07,112/05/16,14:34,交通部公路局組織法第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305171504399.xlsx,
