comYear,comVolume,comBookId,term,sessionPeriod,sessionTimes,meetingTimes,meetingDate,meetingName,subject,pageStart,pageEnd,docUrl,selectTerm,
113,30,,11,01,07,null,1130418,立法院第11屆第1會期交通委員會第7次全體委員會議紀錄,交通委員會第7次會議一、審查113年度中央政府總預算關於交通部主管預算凍結案計31案；二、審查行政院函請審議「道路交通管理處罰條例第七條之一、第六十三條及第六十三條之二條文修正草案」案（113年4月15日、113年4月17日、113年4月18日為一次會）,   343,   398,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/30/LCIDC01_1133001_00008.doc,1101,
113,31,,11,01,01,null,1130418,立法院第11屆第1會期內政、司法及法制委員會第1次聯席會議紀錄,內政、司法及法制委員會第1次聯席會議一、審查委員高金素梅等21人擬具「地方制度法第三十三條條文修正草案」案；二、審查委員鄭天財SraKacaw等17人擬具「地方制度法第三十三條條文修正草案」案；三、審查委員賴士葆等20人擬具「地方制度法第七條之一條文修正草案」案；四、審查委員陳玉珍等18人擬具「地方制度法增訂第七條之四條文草案」案,   263,   338,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/31/LCIDC01_1133101_00010.doc,1101,
113,31,,11,01,08,null,1130418,立法院第11屆第1會期經濟委員會第8次全體委員會議紀錄,經濟委員會第8次會議審查113年度中央政府總預算案附屬單位預算非營業部分關於經濟部主管：經濟作業基金、水資源作業基金、經濟特別收入基金、核能發電後端營運基金（詢答）,   339,   412,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/31/LCIDC01_1133101_00011.doc,1101,
113,31,,11,01,09,null,1130418,立法院第11屆第1會期財政委員會第9次全體委員會議紀錄,財政委員會第9次會議一、處理中華民國113年度中央政府總預算決議，有關行政院主計總處預算凍結書面報告案15案；二、處理中華民國113年度中央政府總預算決議，有關第二預備金預算凍結書面報告案1案；三、處理中華民國113年度中央政府總預算決議，有關審計部主管預算凍結書面報告案11案；四、審查中華民國113年度中央政府總預算決議，有關行政院主計總處預算凍結書面報告案3案；五、審查「證券投資信託及顧問法」3案：(一)行政院函請審議、本院委員郭國文等16人擬具「證券投資信託及顧問法部分條文修正草案」等2案、(二)本院委員林楚茵等17人擬具「證券投資信託及顧問法第一條、第二條及第三條之一條文修正草案」案（僅詢答）；六、審查本院委員郭國文等16人擬具「不動產證券化條例部分條文修正草案」案（僅詢答）,   413,   478,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/31/LCIDC01_1133101_00012.doc,1101,
113,31,,11,01,14,null,1130418,立法院第11屆第1會期司法及法制委員會第14次全體委員會議紀錄,司法及法制委員會第14次會議審查一、民進黨黨團擬具「立法院職權行使法部分條文修正草案」案；二、委員呂玉玲等17人擬具「立法院職權行使法第十五條之一條文修正草案」案；三、委員呂玉玲等16人擬具「立法院職權行使法增訂第二十八條之三及第二十八條之四條文草案」案；四、委員鄭天財SraKacaw等19人擬具「立法院職權行使法部分條文修正草案」案；五、委員翁曉玲等17人擬具「立法院職權行使法部分條文修正草案」案,   479,   532,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/31/LCIDC01_1133101_00013.doc,1101,
113,32,,11,01,13,null,1130422,立法院第11屆第1會期內政委員會第13次全體委員會議紀錄,內政委員會第13次會議一、處理113年度中央政府總預算案有關行政院預算凍結書面報告案計8案；二、處理113年度中央政府總預算案有關不當黨產處理委員會預算凍結書面報告案計1案；三、審查113年度中央政府總預算案有關行政院預算凍結書面報告案計2案；四、審查113年度中央政府總預算案有關不當黨產處理委員會預算凍結書面報告案計2案,     1,    52,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/32/LCIDC01_1133201_00002.doc,1101,
113,32,,11,01,10,null,1130422,立法院第11屆第1會期財政委員會第10次全體委員會議紀錄,財政委員會第10次會議一、審查「娛樂稅法」6案：(一)本院委員徐富癸等17人、委員陳秀寳等18人、委員羅明才等19人、委員王世堅等23人分別擬具「娛樂稅法第二條及第五條條文修正草案」等4案、(二)本院委員黃捷等19人、委員羅明才等16人分別擬廢止「娛樂稅法」等2案；二、審查「保險法」4案：(一)本院委員羅明才等17人擬具「保險法第一百四十六條之四條文修正草案」案、(二)本院委員蔡易餘等19人、委員王鴻薇等16人分別擬具「保險法第一百七十七條條文修正草案」等2案；三、審查人民請願案有關「娛樂稅法」3案,    53,   122,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/32/LCIDC01_1133201_00003.doc,1101,
113,32,,11,01,08,null,1130422,立法院第11屆第1會期交通委員會第8次全體委員會議紀錄,交通委員會第8次會議一、邀請國家運輸安全調查委員會主任委員林信得列席報告業務概況，並備質詢；二、審查113年度中央政府總預算關於國家運輸安全調查委員會預算凍結案計6案,   123,   176,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/32/LCIDC01_1133201_00004.doc,1101,
113,32,,11,01,15,null,1130422,立法院第11屆第1會期司法及法制委員會第15次全體委員會議紀錄,司法及法制委員會第15次會議一、審查(一)民進黨黨團擬具「立法院組織法部分條文修正草案」案、(二)委員高金素梅等23人擬具「立法院組織法第三十二條條文修正草案」案、(三)委員賴瑞隆等16人擬具「立法院組織法第三條、第五條及第三十二條條文修正草案」案、(四)委員高金素梅等17人擬具「立法院組織法第三十三條條文修正草案」案；二、審查(一)民進黨黨團擬具「立法委員行為法第七條之一及第三十條條文修正草案」案、(二)委員賴瑞隆等16人擬具「立法委員行為法部分條文修正草案」案、(三)委員范雲等18人擬具「立法委員行為法第七條條文修正草案」案；三、審查(一)民進黨黨團擬具「立法院議事規則第四十七條、第四十八條及第五十二條條文修正草案」案、(二)委員賴瑞隆等16人擬具「立法院議事規則第九條、第二十二條及第五十條條文修正草案」案,   177,   196,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/32/LCIDC01_1133201_00005.doc,1101,
113,32,,11,01,08,null,1130423,立法院第11屆第1會期程序委員會第8次會議紀錄,程序委員會第8次會議審定本院第11屆第1會期第11次會議議事日程及人民請願案,   197,   250,https://ppg.ly.gov.tw/ppg/download/communique1/work/113/32/LCIDC01_1133201_00006.doc,1101,
