term,sessionPeriod,sessionTimes,meetingTimes,sessionType,docUrl,
08,05,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/05/LCEWC03_080505.doc,
08,05,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/06/LCEWC03_080506.doc,
08,05,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/07/LCEWC03_080507.doc,
08,05,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/08/LCEWC03_080508.doc,
08,05,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/09/LCEWC03_080509.doc,
08,05,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/10/LCEWC03_080510.doc,
08,05,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/11/LCEWC03_080511.doc,
08,05,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/05/12/LCEWC03_080512.doc,
08,06,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/01/LCEWC03_080601.doc,
08,06,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/02/LCEWC03_080602.doc,
08,06,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/03/LCEWC03_080603.doc,
08,06,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/04/LCEWC03_080604.doc,
08,06,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/05/LCEWC03_080605.doc,
08,06,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/06/LCEWC03_080606.doc,
08,06,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/07/LCEWC03_080607.doc,
08,06,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/08/LCEWC03_080608.doc,
08,06,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/09/LCEWC03_080609.doc,
08,06,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/10/LCEWC03_080610.doc,
08,06,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/11/LCEWC03_080611.doc,
08,06,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/12/LCEWC03_080612.doc,
