term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024022107,202110006010000,本院委員蘇清泉等20人擬具「食品安全衛生管理法第四條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00023.pdf,all
11,01,2024022107,202110006020000,本院委員鄭天財Sra Kacaw等21人擬具「野生動物保育法部分條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00024.pdf,all
11,01,2024022107,202110006030000,本院委員謝衣鳯等20人擬具「公寓大廈管理條例第十一條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00025.pdf,all
11,01,2024022107,202110006040000,本院委員謝衣鳯等19人擬具「兒童及少年福利與權益保障法第三十一條條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00026.pdf,all
11,01,2024022107,202110006050000,本院委員謝衣鳯等19人擬具「就業保險法第十條、第十一條及第十九條之三條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00027.pdf,all
11,01,2024022107,202110006060000,本院委員謝衣鳯等19人擬具「再生醫療發展法草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00028.pdf,all
11,01,2024022107,202110006070000,本院委員謝衣鳯等18人擬具「再生醫療製劑管理條例草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00029.pdf,all
11,01,2024022107,202110006080000,本院委員謝衣鳯等17人擬具「人工生殖法部分條文修正草案」，請審議案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00030.pdf,all
11,01,2024022107,311110001370000,大陸委員會函，為113年度中央政府總預算決議，檢送「一般行政」預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00062.pdf,all
11,01,2024022107,311110001380000,大陸委員會函，為113年度中央政府總預算決議，檢送「綜合規劃業務」預算凍結200萬元專案報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00063.pdf,all
11,01,2024022107,311110001390000,大陸委員會函，為113年度中央政府總預算決議，檢送「經濟業務」預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00064.pdf,all
11,01,2024022107,311110001400000,大陸委員會函，為113年度中央政府總預算決議，檢送「法政業務」預算凍結200萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00065.pdf,all
11,01,2024022107,311110001410000,大陸委員會函，為113年度中央政府總預算決議，檢送「港澳蒙藏業務」預算凍結200萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00066.pdf,all
11,01,2024022107,311110001420000,行政院人事行政總處函，為113年度中央政府總預算決議，檢送公務人力發展學院決議（一）「訓練輔導及研究」預算凍結300萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00091.pdf,all
11,01,2024022107,311110003340000,海洋委員會函，為113年度中央政府總預算決議，檢送該會決議（一）「海洋業務」預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00067.pdf,all
11,01,2024022107,311110003350000,海洋委員會函，為113年度中央政府總預算決議，檢送海巡署及所屬決議（一）「海巡業務」預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00068.pdf,all
11,01,2024022107,311110003360000,海洋委員會函，為113年度中央政府總預算決議，檢送海洋保育署決議（一）「海洋保育業務」預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00069.pdf,all
11,01,2024022107,311110003370000,內政部函，為113年度中央政府總預算決議，檢送建築研究所決議（一）「建築研究業務」預算凍結10萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00084.pdf,all
11,01,2024022107,311110003380000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（三）「下水道管理業務」預算凍結60萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00073.pdf,all
11,01,2024022107,311110003390000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十七）「國土管理業務」預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00078.pdf,all
11,01,2024022107,311110003400000,內政部函，為113年度中央政府總預算決議，檢送該部決議（二十八）「內政資訊業務」預算凍結200萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00070.pdf,all
11,01,2024022107,311110003410000,內政部函，為113年度中央政府總預算決議，檢送該部決議（二十九）及（三十）「內政資訊業務」預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00071.pdf,all
11,01,2024022107,311110003420000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二）、（三十一）及（三十二）預算凍結書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00072.pdf,all
11,01,2024022107,311110003430000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十一）「國庫撥充國土永續發展基金」 預算凍結300萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00074.pdf,all
11,01,2024022107,311110003440000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十三）「國土管理業務」預算凍結500萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00075.pdf,all
11,01,2024022107,311110003450000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十四）「國土管理業務」預算凍結300萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00076.pdf,all
11,01,2024022107,311110003460000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十六）「國土管理業務」預算凍結250萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00077.pdf,all
11,01,2024022107,311110003470000,內政部函，為113年度中央政府總預算決議，檢送國土管理署及所屬決議（二十九）「國土管理業務」預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00079.pdf,all
